0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/css/style-signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:24 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:28 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:28 +0700] "GET /cit/login HTTP/1.1" 200 11173
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:32 +0700] "POST /cit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:33 +0700] "GET /cit/ HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:54 +0700] "GET /cit/checkstatus/104.199.135.203/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:12:54 +0700] "GET /cit/checkstatus/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:13:03 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 11717
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:36 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:20:37 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:12 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 12093
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:12 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:12 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:12 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:12 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:12 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:13 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:13 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:13 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:13 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:13 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:21:13 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 12073
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:22:39 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 12063
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:23:07 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:29:58 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 200 11847
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/js/context-server.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:31:47 +0700] "GET /cit/resources/themes/default/images/avatar.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:42:29 +0700] "GET /cit/services/104.199.138.190/-6efa82e22c70f72154a6b3efcfa8a7d0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2015:00:42:29 +0700] "GET /cit/login HTTP/1.1" 200 11135
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET /cit/ HTTP/1.1" 302 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Apr/2015:00:42:29 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
