0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/login HTTP/1.1" 200 11651
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/js/bootstrap.min.js;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 35607
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/js/jquery-2.1.1.min.js;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 84249
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/css/bootstrap.min.css;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 113502
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.standalone.css;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/css/style.css;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 20659
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/css/style-signin.css;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/plugins/font-awesome-4.2.0/css/font-awesome.min.css;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/js/script.js;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/plugins/contextmenu/context.js;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/js/jquery-ui.min.js;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 238326
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/js/context-server.js;jsessionid=158B9D99AE25D409DCCDBC74491402F4 HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [21/Apr/2015:15:54:02 +0700] "GET /cit/resources/themes/default/plugins/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
